08.12.2006, Иеруша Хен'Тат, m, 156290, Арканар
24.08.2001, Вуресси Акамбхериллиакс, M, 69048, Кэр-Паравель
16.08.2008, Иль Бакмэн, f, 734416, Южный Парк
08.06.1988, Хама Баша, m, 10318, Южный Парк
03.11.1996, Иеруша Талаф, F, 712635, Арглтон
01.07.2009, Найвара Коэлана, F, 463504, Куахог
20.09.1977, Делин Рунтроп, m, 739616, Лапута
12.07.1993, Шуй Мей, f, 241183, Вайс-Сити
27.01.1979, Цзюн Лао, m, 12650, Мензоберранзан
19.12.2005, Дарзии Ер, F, 406421, Анк-Морпорк
23.03.1993, Маркон Фалоне, M, 420277, Каркоза
22.08.2000, Энна Упавшая Звезда, F, 178398, Куахог
12.12.1993, Кехур Серпет, m, 685639, Аттилан
11.04.1982, Делин Рунтроп, F, 824745, Касл-Рок
27.04.1995, Зора Чернин, F, 48770, Твин Пикс
22.11.1990, Керкад Фафниренниш, f, 58093, Лаленбург
07.12.1976, Зора Чернин, f, 471440, Арглтон
15.02.1987, Хасеид Мостана, f, 564042, Куахог
18.09.2008, Кехур Серпет, F, 195354, Куахог
02.04.2004, Барерис Фезим, M, 697105, Изумрудный город
18.09.1980, Чиаркот Зиалео, M, 220307, Анк-Морпорк
02.10.1978, Зора Чернин, m, 839240, Арканар
11.10.1999, Дарзии Ер, f, 712192, Хилл-Вэлли
03.04.2003, Шнелисс Гемкаттер, F, 864934, Лоххаузен
03.05.2006, Цзюн Лао, M, 538379, Лоххаузен
13.13.1991, Чиаркот Зиалео, M, 281228, Либерти-Сити
20.09.1984, Владислак Стаянога, m, 225341, Лапута
02.09.1995, Кривоухий Шестенделиат, f, 433249, Мензоберранзан
22.08.1999, Барерис Фезим, m, 886130, Касл-Рок
10.04.2002, Диньзее Вулу, m, 509290, Зурбаган
02.04.1993, Вонда Писакар, M, 356004, Касл-Рок
05.08.2008, Козеф Дотск, M, 189823, Лапута
02.04.2005, Ана Калабра, F, 756399, Великий Гусляр
28.02.1982, Витглен Хетингтон, F, 606827, Южный Парк
20.08.1985, Файварра Мурнитара, M, 53574, Южный Парк
24.10.2006, Иеруша Талаф, F, 521246, Эглоу
04.09.1998, Зашеир Думеин, F, 362536, Город грехов
23.03.2001, Вуресси Акамбхериллиакс, m, 339896, Кэр-Паравель
27.12.1984, Фрити Анкхалаб, f, 736342, Лапута
20.09.1976, Иль Бакмэн, m, 800100, Касл-Рок
17.07.1981, Аль Толстаг, m, 246273, Лаленбург
24.02.1994, Линзеюн Итуоа, f, 755809, Аттилан
26.09.2001, Вонда Писакар, m, 589400, Великий Гусляр
08.11.1983, Чао Кунг, M, 741309, Великий Гусляр
01.12.1987, Зашеир Думеин, M, 643350, Город грехов
01.03.2009, Фран Алгой, F, 611611, Куахог
15.07.1984, Фран Алгой, m, 664108, Великий Гусляр
22.09.1995, Иеруша Талаф, F, 511495, Куахог
