27.08.1999, Эсвель Эвенвуд, f, 53188, Либерти-Сити
26.06.1976, Луэ Найло (Ночной Бриз), F, 532905, Твин Пикс
14.13.1985, Барерис Фезим, M, 483748, Великий Гусляр
04.09.1999, Ивридда Айронфут, m, 882545, Спрингфилд
19.08.1976, Еро Асторио, F, 624945, Арглтон
02.08.1992, Вренн, m, 172278, Спрингфилд
02.11.1995, Хасеид Рейн, F, 633185, Спрингфилд
17.06.1991, Шнелисс Гемкаттер, f, 760538, Великий Гусляр
06.04.1996, Айвор Немецк, f, 79203, Спрингфилд
18.01.1978, Иеруша Талаф, m, 73803, Арглтон
25.09.1992, Айвор Немецк, F, 473295, Аттилан
16.10.1979, Кехур Серпет, M, 597750, Аттилан
14.02.1998, Зора Чернин, F, 50027, Арглтон
14.05.2006, Кхемед Пашар, F, 356378, Куахог
02.10.1986, Наварра Мурнитара, m, 818425, Южный Парк
13.12.1993, Иеруша Хен'Тат, M, 817128, Вайс-Сити
13.04.2004, Иммит Оба, f, 203029, Хилл-Вэлли
04.07.1980, Виарти Итуоа, F, 252223, Лаленбург
09.10.1997, Аот Фезим, M, 260436, Арглтон
08.03.2004, Кронхад Кристалфист, F, 613530, Город грехов
09.11.2007, Элдон Bulty, M, 136443, Город грехов
21.10.1984, Алстон Заффраб Плащ, m, 244267, Твин Пикс
10.06.2009, Хасеид Рейн, f, 384775, Лапута
27.09.1993, Иеруша Хен'Тат, M, 880631, Город грехов
26.11.2009, Найвара Коэлана, f, 749196, Анк-Морпорк
23.03.1989, Алстон Заффраб Плащ, F, 599250, Хилл-Вэлли
01.03.1975, Криви Айронфут, F, 262488, Кэр-Паравель
06.07.2001, Айвор Немецк, m, 525894, Анк-Морпорк
13.13.2010, Иммит Оба, m, 784506, Мензоберранзан
18.08.1986, Дарзии Ер, m, 553564, Хилл-Вэлли
20.03.1989, Иеруша Хен'Тат, f, 530830, Лаленбург
03.11.1986, Медис Фрахдрандон, m, 411999, Лоххаузен
18.02.2008, Иеруша Талаф, F, 818568, Касл-Рок
19.10.1997, Барерис Фезим, m, 533614, Хилл-Вэлли
22.04.1989, Хама Баша, F, 52938, Арглтон
11.13.1977, Фанатик Бекрашесс, m, 313651, Кэр-Паравель
25.01.2008, Эверан Зилосьен, f, 678392, Изумрудный город
13.07.1994, Наварра Чергоба, f, 118692, Великий Гусляр
27.08.1984, Эверан Зилосьен, M, 589017, Лапута
17.12.1996, Мири Гон, M, 548642, Аттилан
11.01.2008, Дарзии Ер, f, 589695, Либерти-Сити
20.10.2007, Орел Немецк, F, 490597, Изумрудный город
15.11.1984, Маркон Фалоне, f, 504307, Изумрудный город
01.06.2001, Наварра Чергоба, F, 461008, Каркоза
10.13.2008, Зора Чернин, M, 458123, Куахог
07.06.1982, Кронхад Кристалфист, f, 317037, Либерти-Сити
19.11.2010, Кеддикай Хун'Дадик, m, 174508, Пндапецим
15.06.1988, Кехур Серпет, M, 736838, Арканар
09.13.1988, Шлорх Зиалео, f, 869957, Арглтон
02.08.2002, Корза Ксогоголь, M, 403609, Куахог
12.10.1997, Хама Баша, F, 276224, Каркоза
07.07.1995, Зашеир Думеин, M, 380660, Лапута
11.11.2000, Иль Бакмэн, F, 53566, Каркоза
